False_Positive_Rate,True_Positive_Rate
0.07985714285714286,0.6875
0.08,0.6875
0.08,0.688
0.08014285714285714,0.688
0.08014285714285714,0.69
0.08085714285714286,0.69
0.08085714285714286,0.691
0.08114285714285714,0.691
0.08114285714285714,0.6915
0.08157142857142857,0.6915
0.08157142857142857,0.6925
0.08171428571428571,0.6925
0.08171428571428571,0.693
0.08185714285714285,0.693
0.08185714285714285,0.6935
0.08214285714285714,0.6935
0.08214285714285714,0.695
0.08257142857142857,0.695
0.08257142857142857,0.6975
0.08271428571428571,0.6975
0.08271428571428571,0.699
0.083,0.699
0.083,0.6995
0.08342857142857144,0.6995
0.08342857142857144,0.7005
0.08357142857142857,0.7005
0.08357142857142857,0.701
0.08428571428571428,0.701
0.08428571428571428,0.7025
0.08514285714285715,0.7025
0.08514285714285715,0.703
0.08542857142857142,0.703
0.08542857142857142,0.704
0.086,0.704
0.086,0.7045
0.08614285714285715,0.7045
0.08614285714285715,0.7065
0.08642857142857142,0.7065
0.08642857142857142,0.707
0.08685714285714285,0.707
0.08685714285714285,0.7075
0.08714285714285715,0.7075
0.08714285714285715,0.7085
0.08728571428571429,0.7085
0.08728571428571429,0.709
0.08742857142857142,0.709
0.08742857142857142,0.7095
0.08828571428571429,0.7095
0.08828571428571429,0.71
0.08842857142857143,0.71
0.08842857142857143,0.7105
0.08857142857142856,0.7105
0.08857142857142856,0.711
0.08885714285714286,0.711
0.08885714285714286,0.7115
0.089,0.7115
0.089,0.7125
0.08942857142857143,0.7125
0.08942857142857143,0.7145
0.08971428571428572,0.7145
0.08971428571428572,0.7155
0.09,0.7155
0.09,0.717
0.09014285714285715,0.717
0.09014285714285715,0.718
0.09028571428571429,0.718
0.09028571428571429,0.7185
0.09057142857142857,0.7185
0.09057142857142857,0.719
0.09085714285714286,0.719
0.09085714285714286,0.7205
0.09157142857142857,0.7205
0.09157142857142857,0.7215
0.09214285714285714,0.7215
0.09214285714285714,0.722
0.09242857142857143,0.722
0.09242857142857143,0.7225
0.093,0.7225
0.093,0.7235
0.09314285714285714,0.7235
0.09314285714285714,0.7245
0.09357142857142857,0.7245
0.09357142857142857,0.725
0.09371428571428571,0.725
